idx_uid,idx_context,uid,context,m_day,m_pattern1,m_pattern2,m_pattern3,m_pattern4,m_pattern_day1,m_pattern_day2,m_pattern_day3,m_pattern_day4,m_slide_pattern,m_pattern_day_obs,m_pattern_adapt,std_day,std_slide_pattern,std_pattern_day_obs,std_pattern_adapt,md_day,md_slide_pattern,md_pattern_day_obs,md_pattern_adapt
u35,FRIDAY_,u35,FRIDAY_,0.2766995484091072,0.2766995484091072,0.5466666666666667,0.5782019704433498,0.5714285714285714,0.2766995484091072,0.35043626146110624,0.3130782797449464,0.311965811965812,0.720035594035594,0.2734848484848485,0.5782019704433498,0.17294001671638115,0.12570327838958487,0.2133298897793702,0.06008665997767463,0.2048611111111111,0.7407407407407407,0.25,0.5782019704433498
u35,SATURDAY_,u35,SATURDAY_,0.28559719266241,0.28559719266241,0.5657748049052397,0.8244047619047619,0.76,0.28559719266241,0.3364234523240735,0.44167236272499427,0.47536738623695146,0.696969696969697,0.3287385129490393,0.8452380952380952,0.24025925923167388,0.1392786084155321,0.23882314094711762,0.016835875742536786,0.17142857142857143,0.6666666666666666,0.2976190476190476,0.8452380952380952
u35,SUNDAY_,u35,SUNDAY_,0.19802008072684765,0.20002982066762207,0.4886699507389163,0.32,0.6071428571428571,0.19822358093034784,0.37988822619440743,0.37883819628647214,0.45046296296296295,0.6303571428571428,0.25042087542087543,0.32,0.2087147488257717,0.08252293022915172,0.31236811204125475,,0.15789473684210525,0.6257142857142857,0.07407407407407407,0.32
u36,MONDAY_,u36,MONDAY_,0.4384163557896277,0.4344481018213737,0.5119199659429544,0.6666666666666666,0.7419354838709677,0.4344481018213737,0.4420049017524473,0.4668452380952381,0.48689720604593334,0.6995877896613191,0.47761004290481496,0.6666666666666666,0.13027192703304794,0.14327081479411832,0.1224668118684281,,0.4444444444444444,0.696969696969697,0.5161290322580645,0.6666666666666666
u36,TUESDAY_,u36,TUESDAY_,0.40773706896551726,0.40773706896551726,0.59485174323884,0.6671891327063741,0.7857142857142857,0.40773706896551726,0.46075599872874623,0.5317065948786378,0.5377514698871763,0.6646857198233727,0.5095135779229216,0.6671891327063741,0.1577120739274766,0.07899858782334639,0.14623557835059814,0.12930374786587853,0.40476190476190477,0.71875,0.5434243176178659,0.6671891327063741
u36,WEDNESDAY_,u36,WEDNESDAY_,0.4070636958599427,0.40508230205454765,0.47450697450697454,0.5142857142857142,0.42857142857142855,0.4035793753024514,0.4577019281687069,0.4444049468187399,0.411957411957412,0.6166666666666667,0.39550066013480645,0.5142857142857142,0.17018754105269912,0.0904761904761905,0.058252080264440564,,0.4418604651162791,0.6190476190476191,0.4074074074074074,0.5142857142857142
u36,THURSDAY_,u36,THURSDAY_,0.3543829096839386,0.3543829096839386,0.5995619275189168,0.6666666666666666,0.6363636363636364,0.3543829096839386,0.4742030563531578,0.49336609023297945,0.4841807612979013,0.6520840589806107,0.4892526455026454,0.6609195402298851,0.18798272025478677,0.14172119177734074,0.15137785833593057,0.008127664151569501,0.3779569892473118,0.6666666666666666,0.4930555555555555,0.6609195402298851
u36,FRIDAY_,u36,FRIDAY_,0.2866100678600678,0.2866100678600678,0.434006734006734,0.6609848484848485,0.6333333333333333,0.2866100678600678,0.3068526705352988,0.3790819044851303,0.4060654288240495,0.6855949197860963,0.37086360725644024,0.6922348484848485,0.211613978942886,0.06243652367588781,0.2474551585092127,0.0066960869430544604,0.28174603174603174,0.696969696969697,0.37289915966386555,0.6922348484848485
u36,SATURDAY_,u36,SATURDAY_,0.31659863823257933,0.31659863823257933,0.4354166666666667,0.5454545454545454,,0.31659863823257933,0.356832796421228,0.41666666666666663,0.4434715821812596,0.6998737373737374,0.2990479348237969,0.5454545454545454,0.06721834056613145,0.16096315956094828,0.07198356239405299,,0.3060200668896321,0.6875,0.2986453201970444,0.5454545454545454
u36,SUNDAY_,u36,SUNDAY_,0.30042510121457483,0.30042510121457483,0.4411681469871125,0.5,0.5714285714285714,0.30042510121457483,0.30506345506345506,0.24213564213564215,0.3021096306685367,0.6692307692307692,0.22073673452983797,0.5,0.1728493429225974,0.1636612656126456,0.13896561975333657,,0.2631578947368421,0.6461538461538461,0.2413793103448276,0.5
u44,MONDAY_,u44,MONDAY_,0.26912842745822374,0.26912842745822374,0.47400449013352236,0.5640273704789833,0.5625,0.26912842745822374,0.332187516916581,0.4077647031442098,0.39979545454545456,0.6768375117652092,0.29098112535612536,0.5305895439377086,0.18265141500294485,0.21416492725252795,0.19066457473201728,0.11640912526764076,0.26785714285714285,0.6923076923076923,0.24166666666666667,0.5305895439377086
u44,TUESDAY_,u44,TUESDAY_,0.31280715142557247,0.31280715142557247,0.5119047619047619,0.5802083333333333,0.7407407407407407,0.31280715142557247,0.41659514010338594,0.42946547279880615,0.48562376320997014,0.6867391118336614,0.4498050682261208,0.5802083333333333,0.18147825036824927,0.13985259864259597,0.12640643557046674,0.019150808657135674,0.27314814814814814,0.6896551724137931,0.4697855750487329,0.5802083333333333
u44,WEDNESDAY_,u44,WEDNESDAY_,0.3503812882201629,0.3503812882201629,0.6128364389233955,0.6296296296296297,0.6153846153846154,0.3503812882201629,0.49503582836916166,0.5097125097125097,0.4911680911680911,0.7200035612535612,0.39069264069264076,0.6296296296296297,0.12394488690415804,0.12211494924642743,0.07161787848527006,,0.36363636363636365,0.6948148148148148,0.36363636363636365,0.6296296296296297
u44,THURSDAY_,u44,THURSDAY_,0.30405123618224306,0.30405123618224306,0.5151488358384911,0.6502463054187192,0.5555555555555556,0.30405123618224306,0.42155501697480713,0.4466117109795271,0.4522203641768859,0.6811151811151811,0.4263285024154589,0.6349206349206349,0.1628489846383133,0.06971493445786428,0.20409683252867783,0.1122391716169123,0.34307992202729043,0.7142857142857143,0.44565217391304346,0.6349206349206349
u44,FRIDAY_,u44,FRIDAY_,0.3957539682539682,0.3957539682539682,0.6447284599458513,0.656084656084656,0.6666666666666666,0.3957539682539682,0.4578243978243978,0.45052473763118434,0.38402523402523403,0.6901851851851852,0.44994839701361444,0.5734953703703703,0.14790722973831108,0.12501645982164689,0.15234276576824987,0.23652067102188912,0.45238095238095233,0.7407407407407407,0.4682971014492754,0.5734953703703703
